name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId
Penny’s Big Breakaway,21-02-2024,23256,30.39.00,524794.0,5.13330423733239,82,AA,Private Division,Evening Star,1955230
Omega Crafter,28-03-2024,23653,25.39.00,523807.0,14.278842039307648,0,Indie,Preferred Networks,Preferred Networks,2262080
Fractured Online,24-07-2024,31955,15.39,521570.0,43.82106499089426,55,Indie,Dynamight Studios,Dynamight Studios,1426050
DRAGON QUEST BUILDERS,13-02-2024,22804,28.39.00,519305.0,24.669839632030605,92,AA,Square Enix,Square Enix,2436570
Spectre Divide,03-09-2024,584912,0.0,515874.0,3.7906067463564392,53,Indie,Mountaintop Studios,Mountaintop Studios,2641470
RIPOUT,28-05-2024,25078,25.39.00,510816.0,9.22208996429652,78,Indie,3D Realms,Pet Project Games,1558830
Song Of The Prairie,31-07-2024,34212,20.39,508466.0,26.52511977011552,86,Indie,AOE Plus,The Droplet Studio,1350840
SpellRogue,12-02-2024,38313,16.39,504572.0,22.424010541240484,0,Indie,Ghost Ship Publishing,Guidelight Games,1990110
Train Capacity 300%,26-06-2024,10037,60.39.00,499436.0,3.783498398295651,76,Indie,072 Project,ベルゼブブ,2441570
The Settlers: New Allies,26-03-2024,24828,60.39.00,498522.0,29.116687826484263,52,AAA,Ubisoft,Ubisoft Düsseldorf,2750080
[Chilla's Art] Shinkansen 0 | 新幹線 0号,22-03-2024,78706,07.39,492076.0,1.803159642267536,85,Indie,Chilla's Art,Chilla's Art,2793370
ROBOBEAT,14-05-2024,31582,20.39,491385.0,6.909824832526566,97,Indie,Kwalee,Simon Fredholm,1456760
Denizen,29-04-2024,28820,20.39,489411.0,7.776756483905562,78,Indie,Departure Interactive,Departure Interactive,2010030
I Wani Hug that Gator!,14-02-2024,38369,15.39,481057.0,14.51670755792052,99,Indie,Cavemanon,Cavemanon,1895350
Corpse Keeper,28-05-2024,33315,20.39,480134.0,11.798358652481376,79,Indie,Thermite Games,Melancholia Studio,1601740
SILENT BREATH,05-04-2024,55920,10.39,478886.0,1.253684919186634,70,Indie,EXODIAC STUDIOS,EXODIAC STUDIOS,2796180
Romantic Escapades,02-08-2024,27493,20.39,478599.0,4.777122589943246,89,Indie,Salamander Interactive,Salamander Interactive,2897760
9-Bit Armies: A Bit Too Far,26-08-2024,31112,20.39,477043.0,11.292738471310066,89,Indie,Petroglyph,Petroglyph,1439750
An alt girl for skoof,21-04-2024,142590,05.39,476684.0,2.0744072440511374,0,Indie,Terletski Games,"Terletski Games,RIKANIMATION",2901520
Remnant Records,23-01-2024,40789,16.39,476002.0,6.249774400407087,86,Indie,Noctiluca Studio,Noctiluca Studio,1916310
Lust Academy - Season 3,27-05-2024,35401,15.39,473076.0,8.985764778175827,89,Indie,Bear in the Night,Bear in the Night,2655960
Loop Queen-Escape Dungeon 3,08-01-2024,28946,20.39,469651.0,5.51790199892241,84,Indie,"Hide Games,PlayMeow",Hide Games,1950450
Anonymous Hacker Simulator,03-04-2024,30891,20.39,469375.0,7.376180049745447,86,Indie,"G-DEVS.com,CreativeForge Games",Sicarius,2487060
KINGDOM HEARTS HD 2.8 Final Chapter Prologue,13-06-2024,12254,60.39.00,467421.0,11.294433700423134,80,AA,Square Enix,Square Enix,2552440
Contractors Showdown,25-04-2024,27141,20.39,466608.0,18.18104801253864,80,Indie,Caveman Studio,Caveman Studio,2719160
SaGa Emerald Beyond,25-04-2024,10425,50.39.00,464418.0,56.864651920884434,75,AA,Square Enix,Square Enix,2085000
Dream Engines: Nomad Cities,09-05-2024,23463,30.39.00,458980.0,24.130133961839118,75,Indie,"Suncrash,Gamera Games",Suncrash,1076750
SAMURAI WARRIORS 4 DX,13-05-2024,10192,50.39.00,458548.0,14.780196821244653,88,AA,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2719200
SUMMERHOUSE,08-03-2024,124989,05.39,457163.0,2.329047690339736,95,Indie,Future Friends Games,Friedemann,2533960
Self Defense Dojo,11-04-2024,49053,11.39,454488.0,9.62940872357666,87,Indie,WAKUWAKU,WAKUWAKU,2534120
Rising Lords,18-01-2024,31478,20.39,450937.0,11.480690698372614,73,Indie,"Deck13,WhisperGames",Argonwood,835650
Ogu and the Secret Forest,29-07-2024,29556,25.39.00,447349.0,12.38599020840312,96,Indie,Sinkhole Studio,"Moonlab Studio,Sinkhole Studio",1985960
失业了，我获得了亿万游戏财产！,08-08-2024,41154,13.39,442047.0,5.434507313639457,0,Indie,Bolingogames,Bolingogames,2875140
Guardians of Eden-Embrace of the Forest,07-03-2024,47876,11.39,440759.0,3.4102798584792144,93,Indie,"Mango Party,Mango Party News",Black Cat Entertainment,2672430
STAR WARS™: Bounty Hunter™,31-07-2024,25198,20.39,440677.0,4.710997589917462,90,Indie,Aspyr,Aspyr,2419090
Trans-Siberian Railway Simulator,30-05-2024,26748,20.39,439367.0,7.473760984153682,92,AA,PlayWay S.A.,Pentacle,998400
Inkulinati,22-02-2024,32914,25.39.00,438381.0,10.260957164525532,89,AA,Daedalic Entertainment,Yaza Games,957960
Meta-Ghost: The Breaking Show,24-04-2024,29511,18.39,438131.0,27.94245613578306,74,Indie,"Flawless Gaming,Erabit",Scarecrow Studio,2507980
迷宮校舎 | School Labyrinth,21-02-2024,72520,07.39,433805.0,6.621443293132326,83,Indie,RainyDollGames,RainyDollGames,2423300
Flintlock: The Siege of Dawn,17-07-2024,13360,40.39.00,428492.0,8.54822977632938,78,Indie,Kepler Interactive,A44 Games,1832040
Touhou Hero of Ice Fairy,03-04-2024,113539,07.39,426279.0,7.463627015339362,98,Indie,GAMEPULSE 游戏脉冲,GAMEPULSE 游戏脉冲,1955830
River Town Factory,06-02-2024,49851,15.39,422423.0,22.97850275057128,91,Indie,"iFAction Studio,BD Games",iFAction Studio,2281410
Enishia and the Binding Brand,10-05-2024,36535,15.39,420150.0,8.334240655135321,89,Indie,Kagura Games,Shimobashira Workshop,2582650
The Witch of Fern Island,27-02-2024,24841,25.39.00,419597.0,42.1769780679866,80,Indie,indie.io,Enjoy Studio S.A.,1550010
Aquarist,29-03-2024,49828,16.39,418284.0,5.791556271643747,85,AA,"PlayWay S.A.,FreeMind S.A.",FreeMind S.A.,1430760
TRIBES 3: Rivals,12-03-2024,25090,20.39,409596.0,23.34107405843711,73,Indie,Prophecy Games,Prophecy Games,2687970
Children of the Sun,09-04-2024,29898,15.39,405492.0,2.7145806764945544,94,AA,Devolver Digital,René Rother,1309950
Mahjong Soul,23-07-2024,50514,0.0,404777.0,13.097029411695926,92,Indie,YOSTAR HONG KONG LIMITED,Catfood Studio,2739990
Bulwark Evolution: Falconeer Chronicles,26-03-2024,25933,20.39,404450.0,11.639992881791208,81,Indie,Wired Productions,Tomas Sala,290100
Contra: Operation Galuga,12-03-2024,12497,40.39.00,398126.0,8.399051408132877,87,AA,KONAMI,WayForward,2235020
IN HEAT: Lustful Nights,21-06-2024,32781,15.39,397065.0,6.52036594813416,92,Indie,Critical Bliss,MonsterBox,1962890
Harold Halibut,16-04-2024,14341,35.39.00,394548.0,6.805622153637477,82,Indie,Slow Bros.,Slow Bros.,924750
All Quiet in the Trenches,17-01-2024,16987,25.39.00,389794.0,5.104839946954534,91,Indie,Totally Not Aliens,Totally Not Aliens,863500
Sex of Thrones 👑,25-05-2024,41711,15.39,388950.0,2.4595185609427723,77,Indie,Taboo Tales 💘,Taboo Tales 💘,2480200
